FID,X,Y,Org_Name,Address,Street,Muni,State,Zip_Code,x,y
78,618293.484447,687841.265312,Nimbus Dance Works,"165 Newark Ave. , Jersey City, New Jersey 07302",165 Newark Ave.,Jersey City,New Jersey,7302,-8242629,4971260
79,606297.630648,684467.593484,NJ City University Foundation - Visual Arts Gallery,"100 Culver Avenue, Jersey City, New Jersey 07305",100 Culver Avenue,Jersey City,New Jersey,7305,-8247453,4969924
80,606607.011953,683865.202476,NJ City University Foundation - Harold B. Lemmerman Gallery,"2039 Kennedy Blvd., Jersey City, New Jersey 07305",2039 Kennedy Blvd.,Jersey City,New Jersey,7305,-8247330,4969681
83,544981.726929,690411.225268,Paper Mill Playhouse,"22 Brookside Drive, Millburn, New Jersey 07041",22 Brookside Drive,Millburn,New Jersey,7041,-8272071,4972405
85,583690.966571,759173.855033,Passaic County Community College Poetry Center and Theater and Cultural & Heritage Council,"204 Ellison Street , Paterson, New Jersey 07055",204 Ellison Street,Paterson,New Jersey,7055,-8256418,5000125
88,395535.090804,860748.114311,Peters Valley Craft Center Inc.,"19 Kuhn Rd, Layton, New Jersey 07851",19 Kuhn Rd,Layton,New Jersey,7851,-8332375,5041276
89,581590.031875,819328.27625,Ramapo College Berrie Center,"505 Ramapo Valley Road, Mahwah, New Jersey 07430",505 Ramapo Valley Road,Mahwah,New Jersey,7430,-8257174,5024482
95,581877.116875,695696.965625,Rutgers University Paul Robeson Art Gallery,"350 Dr Martin Luther King Junior Boulevard Robeson Campus Center, Newark, New Jersey 07012",350 Dr Martin Luther King Junior Boulevard Robeson Campus Center,Newark,New Jersey,7012,-8257243,4974493
98,511334.140423,701960.948817,Shakespeare Theatre of New Jersey F.M. Kirby Shakespeare Theatre,"36 Madison Ave, Madison, New Jersey 07940",36 Madison Ave,Madison,New Jersey,7940,-8285583,4977084
101,559131.552564,698108.010416,South Orange Dept. Rec. & Cult Affairs,"Baird Center 5 Mead Street, South Orange, New Jersey 07079",Baird Center 5 Mead Street,South Orange,New Jersey,7079,-8266379,4975495
102,558391.549069,696824.388528,South Orange Performing Arts Center,"One SOPAC Way, South Orange, New Jersey 07079",One SOPAC Way,South Orange,New Jersey,7079,-8266677,4974978
103,498218.874119,714268.140669,South Street Theater/The Community Theatre,"100 South Street, Morristown, New Jersey 07960",100 South Street,Morristown,New Jersey,7960,-8290852,4982053
107,422735.72,810255.215,Sussex County Arts & Heritage Council,"133 Spring Street, Newton, New Jersey 07860",133 Spring Street,Newton,New Jersey,7860,-8321313,5020832
108,641272.232903,775008.211859,"The Art School at Old Church, Inc.","561 Piermont Road, Demarest, New Jersey 07627",561 Piermont Road,Demarest,New Jersey,7627,-8233184,5006414
109,452211.28022,660334.503955,The Center for Contemporary Art,"2020 Burnt Mills Road, Bedminster, New Jersey 07921",2020 Burnt Mills Road,Bedminster,New Jersey,7921,-8309315,4960295
111,582878.418098,695774.416364,The Newark Museum,"49 Washington Street, Newark, New Jersey 07102",49 Washington Street,Newark,New Jersey,7102,-8256841,4974523
113,511856.893401,672429.318472,The Wharton Institute for the Performing Arts School,"60 Locust Ave, Berkeley Heights, New Jersey 07922",60 Locust Ave,Berkeley Heights,New Jersey,7922,-8285382,4965177
114,518888.452862,679190.590811,The Wharton Institute New Jersey Youth Symphony,"570 Central Avenue, New Providence, New Jersey 07974",570 Central Avenue,New Providence,New Jersey,7974,-8282557,4967899
116,571709.538672,665609.142578,Union County Office of Cul & Hert Affair,"633 Pearl Street, Elizabeth, New Jersey 07202",633 Pearl Street,Elizabeth,New Jersey,7202,-8261367,4962380
119,531269.548912,684295.305016,Visual Arts Center of New Jersey,"68 Elm Street, Summit, New Jersey 07901",68 Elm Street,Summit,New Jersey,7901,-8277583,4969950
120,354482.226466,718232.432478,Warren County Cultural & Hertiage Commission,"Shippen Manor 8 Belvidere Avenue, Oxford, New Jersey 07863",Shippen Manor 8 Belvidere Avenue,Oxford,New Jersey,7863,-8348653,4983496
